surveyId,hitId,AssignmentId,workerId,age,gender,education,occupation,Hispanic,race,Political,zipcode,duration,feelAboutAd,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,39L1G8WVWS4E2192L6MKXPRZTVR31K,A1VP6BCJTT16O7,35,Female,bachelors,employed_other,No,native,lean-democrat,75001,639.0,4,2,4,4,2,2,4,2,4,4,2,4,2,3,4,4,4,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3TOK3KHVJVVHZCHQTKNLM2GNR8R7OK,AV6NBDW2FRR3W,38,Male,bachelors,employed_stem,Yes,native,republican,98272,141.0,4,4,4,5,3,4,3,4,3,4,4,3,4,3,4,4,4,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3L4PIM1GQVT3B9578LUPTA5P6VMYRP,A2A509S2TF43F9,30,Female,associates,unemployed,No,african-american,democrat,10017,528.0,4,3,5,3,3,3,5,3,2,2,2,3,5,3,2,3,3,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,34S9DKFK752IWBDFFED8KQ0F5YYYN2,A2JV461I3AIXOH,34,Female,some_college,employed_biz,No,white,lean-democrat,33101,121.0,3,4,5,4,1,1,5,2,4,1,1,1,5,3,4,3,2,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3U8YCDAGXRT62DUMNYUGWS10YWCQ0M,A3FA26U3SIUFHD,38,Male,highschool,employed_other,No,white,lean-democrat,43202,240.0,1,1,4,4,1,1,4,3,4,1,1,1,4,3,1,1,1,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3I33IC7ZWHFLB7QJDP18PGFARCEA2N,A2D240HZMN6BS0,28,Female,associates,unemployed,No,white,other-party,54449,231.0,5,1,1,1,1,2,4,2,2,2,1,1,1,1,2,1,2,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3NOKK93PR3LGW0JBMEYVN0EQ9UGEE2,AEDI6JZAKS34,28,Female,bachelors,employed_stem,No,white,democrat,10011,290.0,4,4,4,5,4,4,4,5,4,2,2,5,5,4,4,4,4,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3ZQIG0FLQGTRFBRO24HB9A9CGTOVW5,AGB9GA99ZWQSF,25,Male,grad,employed_teacher,No,asian,other-party,68501,145.0,4,4,4,3,4,4,4,2,4,4,5,1,1,3,4,2,5,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
71,3SA4EMRVJWFJFHVDXJAQ73G1NUUP0Y,3OVHNO1VE8E9FPW7M61O2SXNXPYDZQ,A3BLYWOHSU94H4,28,Male,bachelors,employed_stem,Yes,african-american,democrat,30002,983.0,5,3,5,4,3,5,5,4,4,3,4,5,4,5,4,5,4,Alternet Page - bp.png,Alternet Page - NRA.png,Book - Impeach.png,Book - Fasion.png,Breitbart Page - bp.png,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Fasion.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Adidas.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - NRA.png,NYT Page2 - bp.png
72,3RDTX9JRTZEC55FQ1TZ20SQ9Q4I79L,3DUZQ9U6SO1Y8UAFIZ7ACL6RAFWSVP,A2Q6MC6KYS6M6K,22,Female,associates,student,No,white,independent,11105,211.0,2,2,4,1,2,2,2,1,4,1,2,1,2,1,1,1,4,Alternet Page - bp.png,Alternet Page - Polar Bear.png,Book - Polar Bear.png,Book - bp.png,Breitbart Page - bp.png,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Impeach.png,Food - Adidas.png,NewsMax Page - bp.png,NewsMax Page - Polar Bear.png,NYT Page - Impeach.png,NYT Page - bp.png,NYT Page2 - Polar Bear.png,NYT Page2 - Adidas.png
