surveyId,hitId,AssignmentId,workerId,CountryCriteria,age,gender,education,occupation,Hispanic,race,Political,zipcode,duration,feelAboutAd,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,358010RM5G664BWEC9DXBTNJPR9VX5,AHI4R9YE0SF9E,No,29,Male,grad,employed_stem,No,white,independent,22201,360,3,1,1,1,1,1,5,1,3,1,1,1,5,1,1,1,5,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,3RSDURM96CZE2502MFAPU366R20EYO,A14UJPO621M1X0,No,25,Female,bachelors,employed_stem,No,asian,independent,62056,528,5,4,4,3,5,4,3,4,4,2,5,3,4,4,5,3,4,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,3A4NIXBJ78CSEULGKY9ID39JRPNLMS,A47E0Z3LTH37V,No,24,Female,bachelors,employed_stem,Yes,asian,republican,62915,743,4,4,2,4,3,4,3,3,4,4,3,4,4,3,4,3,3,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,3K2755HG5UG3A857LU7HZ0H5LFAFD0,A3DHYTZ1GPN0T8,No,32,Female,bachelors,employed_biz,No,asian,unsure,56007,2650,4,3,2,4,2,2,2,1,2,1,1,1,2,2,3,2,2,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,333U7HK6IBSJFAR34KY2EY9XEMQJD6,A2HITRHQ441VHA,No,31,Male,grad,employed_biz,No,asian,democrat,75006,5293,4,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,3E7TUJ2EGEZU9YEUI87PP4VUIHJD9A,A3J4QZVB7RJQ0U,No,27,Male,grad,employed_stem,Yes,asian,democrat,90201,5781,4,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,4,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,3QRYMNZ7F0UMFPEL58Q9C980QSJTN3,A1S2MN0E9BHPVA,No,29,Male,bachelors,employed_stem,No,asian,lean-democrat,70069,812,4,4,4,3,5,2,5,5,4,5,4,5,5,4,5,5,5,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,392CY0QWG34AK3O4TRC9ZT0ROVE4IA,A3DHAM13WLSE9V,No,23,Male,highschool,unemployed,Yes,white,lean-republican,92277,2772,1,1,1,1,1,1,5,1,1,1,1,1,4,1,4,1,5,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
1,3UUIU9GZC6IG2GALB6PMT8DPS4C5TN,3DR23U6WE7RILJ18C9NQMMERC00ETH,A2T11H7YI7QPGD,No,29,Male,bachelors,employed_stem,No,white,democrat,43213,5640,1,2,2,2,4,2,5,2,4,1,2,2,4,1,2,2,4,Alternet Page - Wallet.png,Alternet Page - Polar Bear.png,Book - NRA.png,Book - Adidas.png,Breitbart Page - Fasion.png,Breitbart Page - NRA.PNG,Daily Kos Page - Adidas.png,Daily Kos Page - Impeach.png,Food - NRA.png,Food - bp.png,NewsMax Page - bp.png,NewsMax Page - Liberal Quiz.png,NYT Page - Impeach.png,NYT Page - Fasion.png,NYT Page2 - Impeach.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,3018Q3ZVOK32FR74SFG9QONI30NRA4,A215U3DIT24TIL,No,28,Male,bachelors,employed_stem,No,white,republican,90001,553,5,3,4,2,3,1,4,2,4,2,3,4,2,4,3,4,3,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,30OG32W0SWOKQ6WOFD1EDN8ZNIWENY,AWYK8MO0YQGXG,No,26,Male,bachelors,employed_biz,Yes,white,lean-democrat,74066,628,1,1,1,2,1,1,3,1,1,1,2,1,2,1,1,1,5,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,3UOUJI6MTFR6RW7E7J3SF7L0BK4XUM,A3AHAY1VIJDCGX,No,29,Female,bachelors,employed_biz,No,asian,lean-republican,68669,450,5,4,3,5,5,4,2,4,5,4,4,4,2,4,3,4,4,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,3FTF2T8WLTVTI4ELZ3CFHSKFPX89WY,A15Q0V8QB1EF7D,No,24,Male,bachelors,employed_biz,No,white,democrat,46001,932,4,4,4,3,4,4,3,4,3,4,4,3,4,4,3,4,4,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,3B837J3LDQ96FNTY9F20BOHOP7WRS4,A2TSWYWMOUT4SB,No,25,Male,bachelors,employed_biz,No,white,democrat,46001,291,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,369J354OFFNA3ZMNMR5LBF7P58M6GX,A16FVMBSNMXG9F,No,27,Female,some_college,student,Yes,white,lean-republican,40445,1929,4,3,4,2,3,2,4,4,3,4,3,3,4,3,3,4,3,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,3WJ1OXY92CTWXMS8T6A9Z7SDD92A8G,A3OEAL8C5R4YCQ,No,25,Male,bachelors,employed_biz,No,white,democrat,46001,126,4,4,2,5,3,3,4,4,3,4,4,3,4,4,3,4,4,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,36H9ULYP647GDU5ZVQTS2YCIQZ6JFH,A39980PKUJE4NS,No,27,Male,grad,employed_stem,Yes,asian,democrat,90201,834,5,2,2,2,3,2,2,4,4,2,4,4,2,4,2,5,5,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
2,33QQ60S6ATVW7M39E59KH930UA80UO,3NLZY2D53R2JZ9J8CRGZUCTO1QKLQF,A35R1A578D01Z1,No,33,Female,associates,employed_other,No,african-american,democrat,39701,5557,4,4,3,2,4,3,4,3,3,3,2,4,3,3,4,4,3,Alternet Page - Fasion.png,Alternet Page - Polar Bear.png,Book - Liberal Quiz.png,Book - bp.png,Breitbart Page - Adias.PNG,Breitbart Page - Wildlife.png,Daily Kos Page - Wallet.png,Daily Kos Page - Impeach.png,Food - Liberal Quiz.png,Food - Wallet.png,NewsMax Page - Wallet.png,NewsMax Page - Polar Bear.png,NYT Page - NRA.png,NYT Page - Fasion.png,NYT Page2 - NRA.png,NYT Page2 - Adidas.png
3,3VAOOVPI3056LS51UK32O6Z5KHPLLN,3B3WTRP3DDF76OGELJN8TL4QLQQ29M,AAV3UOXN5TXAU,No,28,Female,grad,employed_other,Yes,asian,lean-republican,82005,770,4,3,4,3,4,3,4,3,3,4,2,3,3,1,2,3,4,Alternet Page - Adidas.png,Alternet Page - NRA.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Adias.PNG,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Wallet.png,Daily Kos Page - NRA.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Fasion.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - Impeach.png,NYT Page2 - Wallet.png
3,3VAOOVPI3056LS51UK32O6Z5KHPLLN,308Q0PEVBAQBH9UGAM80G1B7AMM9I3,A2RHE12CJSKCRE,No,30,Female,highschool,employed_other,No,white,democrat,55403,1803,4,1,5,1,1,2,1,4,2,1,5,1,1,4,1,1,4,Alternet Page - Adidas.png,Alternet Page - NRA.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Adias.PNG,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Wallet.png,Daily Kos Page - NRA.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Fasion.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - Impeach.png,NYT Page2 - Wallet.png
3,3VAOOVPI3056LS51UK32O6Z5KHPLLN,34V1S5K3GUEVOPZF8LZBJYL21VR696,A22TV3S4RDO7T8,No,60,Male,bachelors,employed_other,No,white,democrat,80440,2524,5,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,Alternet Page - Adidas.png,Alternet Page - NRA.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Adias.PNG,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Wallet.png,Daily Kos Page - NRA.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Fasion.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - Impeach.png,NYT Page2 - Wallet.png
3,3VAOOVPI3056LS51UK32O6Z5KHPLLN,3XIQGXAUMEL4TLVIUBAH5F7G39F7X2,A6YCL762M6N74,No,27,Male,bachelors,employed_stem,No,white,republican,67745,553,4,1,4,3,2,2,4,4,4,4,4,2,4,3,2,2,2,Alternet Page - Adidas.png,Alternet Page - NRA.png,Book - NRA.png,Book - Wallet.png,Breitbart Page - Adias.PNG,Breitbart Page - Liberal Quiz.PNG,Daily Kos Page - Wallet.png,Daily Kos Page - NRA.png,Food - Liberal Quiz.png,Food - bp.png,NewsMax Page - Fasion.png,NewsMax Page - Liberal Quiz.png,NYT Page - Liberal Quiz.png,NYT Page - Wallet.png,NYT Page2 - Impeach.png,NYT Page2 - Wallet.png
